Operator;Total Cost to Collect per transaction (US$);Total Cost to Collect per transaction — Electronic Toll Collection with transponder/OBU (US$);Total Cost to Collect per transaction — Video Tolling (US$);Manual roadside CASH collection (US$);% Labor Cost;Leakage %;Violation enforcement cost as % of the total tolling cost;Violation enforcement cost as % of the total tolling cost (USD)
Operator  1;;;;0,77;0,40;0,00;;
Operator  2;0,14;0,06;;0,25;0,49;0,00;;
Operator  3;0,25;0,22;;0,33;0,33;0,00;;
Operator  4;;;;0,06;0,80;0,06;;
Operator  5;0,18;;;0,12;0,79;0,02;;
Operator  6;0,14;;;;;0,00;;
Operator  7;0,18;;;0,12;0,84;0,06;;
Operator  9;0,46;0,21;;0,57;0,70;0,00;;
Operator 10;;;;0,11;0,79;0,02;;
Operator 11;0,27;0,14;;0,39;0,50;;;
Operator 12;0,24;;;;;0,02;;
Operator 13;0,29;0,17;;;0,46;0,01;;
Operator 14;;;;;;0,09;;
Operator 15;0,19;;;0,75;0,74;;;
Operator 17;0,42;0,32;0,32;1,63;0,51;0,01;;
Operator 18;0,17;0,15;0,24;0,46;0,58;0,07;;
Operator 19;0,36;0,34;0,42;;0,39;0,14;0,00;
Operator 20;0,18;;0,26;0,62;0,38;0,00;0,04;0,01
Operator 22;0,16;0,11;;0,33;;0,20;;
Operator 23;0,46;0,31;;1,85;0,42;0,00;;
Operator 24;;0,34;;1,78;0,74;0,02;;
Operator 26;0,27;0,22;0,55;0,54;0,19;0,06;;
Operator 27;0,43;0,34;;0,47;0,91;0,01;;
Operator 28;0,19;0,16;0,35;;0,25;;;
Operator 29;0,76;;0,93;;;0,03;;
Operator 30;0,91;;;;;0,04;0,25;0,23
Operator 31;0,40;0,30;0,48;;0,29;0,15;;
Operator 32;0,65;;;;0,40;;;
Operator 33;0,47;;;0,47;;0,02;;
Operator 34;;;;;;0,03;;
Operator 35;;;;;;0,10;;
Operator 36;;;;;;0,03;;
Operator 37;;;;;;0,03;;
Operator 38;;;;;;0,02;;
Operator 39;;;;;;0,01;;
Operator 40;;;;;;0,01;;
Operator 41;;;;;;0,01;;
Operator 42;;;;;;0,00;;
Operator 43;;;;;;0,00;;
Operator 44;;;;;;0,00;;
