TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
101BRJ3337;4966;5005;5106;5227;5350;5469;5586;5706;5838;5985;6133;6300;6451;6606;6742;6888;7035;7184;7336;7489;7644;7801;7960;8120;8282;8446;8612;8778;8946;9116;9286;9457;9629;9802;9975;10149
101BRJ3340;4966;5005;5106;5227;5350;5469;5586;5706;5838;5985;6133;6300;6451;6606;6742;6888;7035;7184;7336;7489;7644;7801;7960;8120;8282;8446;8612;8778;8946;9116;9286;9457;9629;9802;9975;10149
101BRJ3345;4966;5005;5106;5227;5350;5469;5586;5706;5838;5985;6133;6300;6451;6606;6742;6888;7035;7184;7336;7489;7644;7801;7960;8120;8282;8446;8612;8778;8946;9116;9286;9457;9629;9802;9975;10149
101BRJ3350;5519;5562;5674;5801;5929;6059;6194;6335;6481;6634;6791;6970;7142;7315;7469;7630;7793;7958;8126;8295;8466;8640;8816;8993;9172;9353;9536;9720;9906;10093;10281;10471;10661;10851;11043;11235
101BRJ3350;5519;5562;5674;5801;5929;6059;6194;6335;6481;6634;6791;6970;7142;7315;7469;7630;7793;7958;8126;8295;8466;8640;8816;8993;9172;9353;9536;9720;9906;10093;10281;10471;10661;10851;11043;11235
101BRJ3350;4651;4687;4782;4889;4997;5107;5221;5341;5466;5597;5731;5886;6034;6184;6314;6451;6589;6729;6871;7015;7161;7308;7457;7608;7760;7914;8070;8226;8384;8543;8703;8864;9026;9188;9351;9514
101BRJ3350;4651;4687;4782;4889;4997;5107;5221;5341;5466;5597;5731;5886;6034;6184;6314;6451;6589;6729;6871;7015;7161;7308;7457;7608;7760;7914;8070;8226;8384;8543;8703;8864;9026;9188;9351;9514
101BRJ3350;4651;4687;4782;4889;4997;5107;5221;5341;5466;5597;5731;5886;6034;6184;6314;6451;6589;6729;6871;7015;7161;7308;7457;7608;7760;7914;8070;8226;8384;8543;8703;8864;9026;9188;9351;9514
101BRJ3370;4997;5037;5138;5253;5369;5486;5609;5736;5870;6010;6153;6316;6474;6633;6773;6919;7067;7217;7369;7522;7678;7835;7995;8156;8318;8482;8648;8815;8984;9154;9324;9496;9668;9842;10015;10189
101BRJ3370;2723;2744;2799;2860;2865;2929;2997;3067;3135;3203;3273;3340;3414;3490;3570;3647;3724;3803;3883;3964;4046;4129;4213;4297;4383;4470;4557;4645;4734;4823;4913;5004;5094;5186;5277;5369
