TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
101BRJ3337;4366;4398;4481;4580;4682;4780;4876;4973;5081;5198;5317;5447;5569;5694;5807;5925;6045;6166;6289;6413;6539;6666;6795;6925;7056;7188;7322;7457;7592;7729;7866;8004;8142;8281;8420;8560
101BRJ3340;4366;4398;4481;4580;4682;4780;4876;4973;5081;5198;5317;5447;5569;5694;5807;5925;6045;6166;6289;6413;6539;6666;6795;6925;7056;7188;7322;7457;7592;7729;7866;8004;8142;8281;8420;8560
101BRJ3345;4366;4398;4481;4580;4682;4780;4876;4973;5081;5198;5317;5447;5569;5694;5807;5925;6045;6166;6289;6413;6539;6666;6795;6925;7056;7188;7322;7457;7592;7729;7866;8004;8142;8281;8420;8560
101BRJ3350;4887;4923;5016;5123;5230;5338;5450;5566;5687;5812;5939;6081;6221;6362;6491;6624;6758;6893;7031;7170;7311;7453;7597;7743;7889;8038;8187;8338;8490;8643;8796;8951;9106;9261;9417;9573
101BRJ3350;4887;4923;5016;5123;5230;5338;5450;5566;5687;5812;5939;6081;6221;6362;6491;6624;6758;6893;7031;7170;7311;7453;7597;7743;7889;8038;8187;8338;8490;8643;8796;8951;9106;9261;9417;9573
101BRJ3350;4047;4077;4154;4241;4330;4418;4510;4606;4706;4811;4916;5036;5153;5272;5378;5487;5598;5710;5823;5938;6055;6172;6291;6411;6532;6655;6778;6903;7028;7154;7281;7408;7536;7665;7793;7922
101BRJ3350;4047;4077;4154;4241;4330;4418;4510;4606;4706;4811;4916;5036;5153;5272;5378;5487;5598;5710;5823;5938;6055;6172;6291;6411;6532;6655;6778;6903;7028;7154;7281;7408;7536;7665;7793;7922
101BRJ3350;4047;4077;4154;4241;4330;4418;4510;4606;4706;4811;4916;5036;5153;5272;5378;5487;5598;5710;5823;5938;6055;6172;6291;6411;6532;6655;6778;6903;7028;7154;7281;7408;7536;7665;7793;7922
101BRJ3370;4522;4555;4641;4739;4838;4937;5040;5147;5259;5376;5494;5627;5757;5890;6010;6132;6256;6381;6508;6636;6766;6898;7031;7165;7301;7438;7576;7715;7855;7996;8138;8281;8424;8568;8712;8856
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3370;2482;2501;2548;2599;2594;2648;2706;2766;2823;2881;2939;2996;3059;3123;3191;3256;3321;3388;3455;3523;3592;3662;3733;3804;3876;3949;4022;4096;4171;4246;4321;4397;4473;4549;4626;4702
101BRJ3390;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3410;2483;2501;2549;2587;2562;2603;2661;2725;2783;2841;2897;2958;3021;3087;3151;3215;3280;3346;3412;3479;3548;3617;3686;3757;3828;3900;3972;4045;4119;4193;4267;4342;4417;4492;4568;4643
101BRJ3430;749;755;769;764;760;767;797;824;842;861;880;899;917;939;958;977;997;1017;1038;1058;1079;1100;1121;1143;1165;1187;1209;1231;1254;1276;1299;1322;1345;1368;1391;1414
101BSP3450_2;749;755;769;764;760;767;797;824;842;861;880;899;917;939;958;977;997;1017;1038;1058;1079;1100;1121;1143;1165;1187;1209;1231;1254;1276;1299;1322;1345;1368;1391;1414
101BSP3450_1;1664;1676;1708;1724;1741;1769;1820;1869;1910;1952;1994;2037;2079;2125;2168;2213;2259;2304;2351;2397;2445;2493;2541;2590;2640;2689;2740;2791;2842;2893;2945;2997;3049;3101;3154;3206
116VRJ1005;10999;11078;11284;11631;12056;12499;12856;13158;13480;13796;14029;14269;14503;14821;15126;15435;15746;16060;16378;16701;17027;17357;17691;18029;18371;18716;19064;19415;19768;20125;20483;20844;21206;21570;21935;22301
116VRJ1005;10999;11078;11284;11631;12056;12499;12856;13158;13480;13796;14029;14269;14503;14821;15126;15435;15746;16060;16378;16701;17027;17357;17691;18029;18371;18716;19064;19415;19768;20125;20483;20844;21206;21570;21935;22301
116BRJ1930;12732;12823;13060;13595;14189;14805;15164;15514;15878;16249;16503;16782;17073;17472;17857;18218;18582;18950;19323;19700;20083;20470;20861;21257;21657;22060;22468;22879;23293;23710;24130;24552;24975;25401;25828;26256
116BRJ1950;10999;11078;11284;11631;12056;12499;12856;13158;13480;13796;14029;14269;14503;14821;15126;15435;15746;16060;16378;16701;17027;17357;17691;18029;18371;18716;19064;19415;19768;20125;20483;20844;21206;21570;21935;22301
116BRJ1970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116BRJ1990;10999;11078;11284;11631;12056;12499;12856;13158;13480;13796;14029;14269;14503;14821;15126;15435;15746;16060;16378;16701;17027;17357;17691;18029;18371;18716;19064;19415;19768;20125;20483;20844;21206;21570;21935;22301
116BRJ2010;10999;11078;11284;11631;12056;12499;12856;13158;13480;13796;14029;14269;14503;14821;15126;15435;15746;16060;16378;16701;17027;17357;17691;18029;18371;18716;19064;19415;19768;20125;20483;20844;21206;21570;21935;22301
116BRJ2050_2;11580;11663;11879;12172;12532;12905;13259;13573;13899;14218;14446;14685;14925;15250;15564;15880;16200;16523;16850;17181;17517;17856;18199;18547;18898;19252;19610;19970;20334;20700;21069;21439;21811;22185;22560;22936
116BRJ2050_2;11593;11676;11893;12185;12545;12919;13274;13588;13915;14233;14460;14700;14944;15274;15593;15911;16232;16555;16883;17215;17551;17891;18235;18583;18934;19289;19648;20009;20373;20740;21109;21481;21854;22228;22604;22981
116BRJ2050_2;11593;11676;11893;12185;12545;12919;13274;13588;13915;14233;14460;14700;14944;15274;15593;15911;16232;16555;16883;17215;17551;17891;18235;18583;18934;19289;19648;20009;20373;20740;21109;21481;21854;22228;22604;22981
116BRJ2050_2;11593;11676;11893;12185;12545;12919;13274;13588;13915;14233;14460;14700;14944;15274;15593;15911;16232;16555;16883;17215;17551;17891;18235;18583;18934;19289;19648;20009;20373;20740;21109;21481;21854;22228;22604;22981
116BRJ2050_1;19972;20117;20495;20967;21475;21998;22491;22980;23480;23999;24435;24881;25325;25857;26390;26929;27475;28026;28583;29148;29720;30299;30884;31476;32074;32678;33287;33901;34521;35144;35772;36402;37036;37672;38310;38950
116BRJ2070;19968;20113;20490;20975;21479;21996;22467;22947;23439;23956;24398;24850;25292;25820;26351;26891;27436;27987;28544;29108;29679;30257;30842;31433;32030;32634;33242;33856;34475;35097;35724;36354;36987;37622;38260;38899
116BRJ2070;19966;20111;20488;20977;21488;22010;22484;22961;23454;23971;24411;24860;25300;25830;26362;26902;27447;27998;28555;29119;29691;30269;30854;31445;32043;32646;33255;33869;34488;35111;35738;36368;37001;37636;38274;38913
116BRJ2090;19966;20111;20488;20977;21488;22010;22484;22961;23454;23971;24411;24860;25300;25830;26362;26902;27447;27998;28555;29119;29691;30269;30854;31445;32043;32646;33255;33869;34488;35111;35738;36368;37001;37636;38274;38913
116BRJ2110;17399;17526;17856;18301;18768;19246;19665;20083;20516;20972;21352;21740;22116;22580;23047;23522;24002;24486;24975;25471;25973;26481;26994;27514;28039;28569;29103;29643;30186;30734;31284;31838;32394;32952;33513;34074
116BRJ2110;17395;17522;17852;18311;18796;19293;19716;20138;20573;21028;21412;21804;22189;22656;23126;23603;24085;24570;25061;25559;26062;26572;27087;27609;28135;28667;29204;29745;30290;30840;31392;31948;32506;33066;33629;34192
